Faster Pussy cat,Silent Night
DNA,Ketama sunset
New York Philharmonic_ Leopold Stokowski,Die Walküre: Wotan's Farewell and Magic Fire Music
Modern English,Life In The Gladhouse
Lemar,Fall Over
Jughead's Revenge,Silver Spoon
Klaus Badelt,Under Covers
Wayne Newton,Years
Jim Bryson,Mean Streak
João Gilberto,Lobo Bobo (Foolish Wolf)
General Elektriks,Raid the Radio (General Agoria Motor Mix)
Vince Guaraldi,The Love Of A Rose
Joachim Garraud,the Box
Bob Da Rage Sense,Menos_ Pão_ Luz E Água
Phonique,One Love feat. Rodney Hunter
Janice Grace,The Biggest Sin
Linda Hopkins,My Loving Baby
The Bumblebeez,Frosty The Snowman
The Quartertones,Hands Up
SOL,Through the Fire
Doves,Snowden (Rich Costey Mix)
The Van Pelt,His Steppe Is My Prarie
Lou Christie,LIGHTNING STRIKES
Johannes Linstead,Ritmo De Amor
Sam & Dave,Don't Waste That Love (LP Version)
Los Rieleros Del Norte,Y Yo Lloraba
IYOV,Bitter Inside
Mount Kimbie,Taps
Sonny Terry / Brownie McGhee,That's Why I'm Walking
Royal Liverpool Philharmonic Orchestra/Malcolm Stewart/Vernon Handley,Symphony No. 4 in F minor: IV.    Finale (Allegro molto) con epilogo fugato (Con anima)
Claire Elzière,Gouttes
PIERPOLJAK,Le Touriste A Babylone
Kilo,Golden Rule
Enzo Avitabile,Canto 'e primavera
Pennywise,Peaceful Day
Heather Headley,Simply Redeemed
Hacienda,Late Lounge Lover
Marc Romboy,Hyperharmonic
Bobby Darin,At The Crossroads
La Costa Brava,Nada más
The Gathering,Frail
Mystery,Come On
Seth Lakeman,The Punch Bowl
Gazpacho,Eleva
Vivid,My Fitted
O.V. Wright,Since You Left These Arms Of Mine
Camané,Bicho De Conta
Lopazz,Play In My House
Sim Redmond Band,D-Fumo
Show Of Hands,Scratch
Ninja,Hey Tokyo
Bloody Dead And Sexy,Fingers
Yellow #5,Bad Girl
Carmen McRae,The Christmas Song (Chestnuts Roasting On An Open Fire)
The Love Unlimited Orchestra,Freeway Flyer
Alceu Valença,Rouge Carmin
Working For A Nuclear Free City,Heaven Kissing Hill
Carrie Newcomer,Sounds Of The Morning
Vinkenoog_ Spinvis Combo,Ja!
Dr. Hector & The Groove Injectors,Rudolph the Red-Nosed Reindeer
Grayson Capps,Cry Me One Tear
Maxi Priest,Wild World
Samuele Bersani,Una Delirante Poesia
U-N-I,The Grudge
George McCrae,Hot To The Touch
Michael Jackson,Happy (Love Theme From "Lady Sings The Blues")
Eddie Calvert,What Is This Thing Called Love (Wake Up And Dream)
Double Image,No Title Required: II
Marco Ferradini,Autobus 30
Richard Thompson,The Dune Ship (Instrumental)
Cliff Eidelman,No More Seances
The Arrogant Sons Of Bitches,Meatheads Attack Spencer At 9
Charlie Peacock,Monkeys At The Zoo  (Full Circle Album Version)
Reflector,Subtropic Flirt
Septembre,(Face)
Eric Idle,The Randi (Comedy)
Hiroshima Mon Amour,We Are The Robots
Cannibal Corpse,Evidence In The Furnace
Andrew Weatherall,Stalker
Dolorean,Beachcomber Blues
Sean Paul,We Be Burnin' [Sessions @ AOL Version]
Wilson Pickett,Call My Name_ I'll Be There (LP Version)
The Charlatans,Floor Nine
The Statler Brothers,We Got Paid By Cash
Jerry Kilgore,The Real Thing
Ed Bolduc,Glory To God
The Fevers,Não Tenho Nada (Natchs Scheint Die Sonne)
Pillar,Let It Out
Dum Dum Girls,Baby Don't Go
Julie Collings,Hypnotised
Ola Magnell,Frostens Änglar
P.H.A.T.T. & Solar Scape,The Promise
The Aqua Velvets,Nomad
John LaPorta,Lou's Tune
Robert Owens,Never Too Late
Newtown Neurotics,Agony
Airiel,Swimming Through Us
R.B. Morris,Take Time To Love
Raymond Lefèvre,Le gendarme de Saint-Tropez: Douliou-douliou Saint-Tropez
Cause Co-Motion!,I Lie Awake
Dag För Dag,Animal
Ricardo Arjona,Libre
Beck_ Bogert_ Appice,Lady
Sippie Wallace,Mama's Gone_ Goodbye
Suicidal Tendencies,Alone
Hank Marvin,The Twelfth Of Never
Borodin Quartet,String Quartet No. 9 in C major Op. 59 No. 3_ 'Razumovsky': IV.    Allegro molto
Tracy Bonham,Sharks Can't Sleep
Spiros Kaloumenos,Analog Wax
GRANDADDY,Why Took Your Advice
Brando,Se Mai Volessi
Porcas borboletas,Santa manca
Bobcat Goldthwait,Beaten By The Police (LP Version)
Erik Truffaz,Saisir
Strapping Young Lad,Possessions
Even As We Speak,Getting Faster
Gorgeous X feat. Julia Falke,Wonderful Life
Gigi,Jatuh Padamu
Queensrÿche,The Art Of Life
Armored Saint,Tainted Past
StoneBridge feat. Therese,Put 'Em High
Sparky Lightbourne,Let Us Journey Together
Willie Wisely,Ready To Wear
Anonymous 4;Netherlands Radio Choir;Netherlands Radio Philharmonic;Steven Mercurio,Voices of Light/XII. The Final Walk
Tricky,A Song for Yukiko (Album version)
Alpinestars,Smash It Up
Ultravox,The Thin Wall (2008 Digital Remaster)
Aeroplane,Borders
Silent Stream Of Godless Elegy,Look
Taxi Taxi,X Marks The Spot
Ella Mae Morse,Rip Van Winkle
Laura Nyro,When I Was A Freeport And You Were The Main Drag
Mick Farren And The Deviants,Screwed Up
Lords Of The Underground,From Da Bricks (Explicit)
Los Cojones,Dame gasolina
Mink,Glory Of Life (DFA Main Mix)
The Harmonizing Four,Motherless Child
Volsoc,Here Come Volsoc
Jessica Lea Mayfield,Greater Heights
Argent,Thunder And Lightning
D.A.R,Chico de los Bailes
Dave Hollister,Almost
My Life With The Thrill Kill Kult,Eight Of Space (Album Version)
El Indio Gitano,Cuando Paso Por Tu Puerta
Ward 21,Never Sell Out
Hella Donna,Liberty
David Banner / Marcus / Kamikazi,Still Pimpin'
Julian Lennon,Let Me Be
Kid Rock,So Hott (Explicit Album Version)
Tim O'brien,Flora_ The Lily Of The West
QPE,NOT
Chuck Loeb,Breathe Again
The El Dorados,My Lovin' Baby
The Churchills,Ordinary
Kids In Glass Houses,Matters At All
Woody Guthrie,The Biggest Thing Man Has Ever Done
Gianni Drudi,I Sogni Dei Pirati
Volcano Choir,Youlogy
Primordial,The Golden Spiral
U.D.I.,The Return (K.A.H. Featuring 11/5)
Olodum,Desabafo Olodum
The Jordanaires,Jailhouse Rock
Charlie Brown Gets a Valentine,Idle
The Ordinary Boys,The List Goes On
Death Cab for Cutie,405 (Acoustic)
Haircut 100,Surprise Me Again
Sonny Terry / Brownie McGhee,Blues All Around My Head
Dweazle,I Am Back
Hala Strana,Hell Birds
New Adventures,Everybody Needs a Brother
Los Humildes,Amor De Propina
Dash Rip Rock,Rich Little Bitch
Elisa,Tic Tac
Juana Molina,Un Di´a
I-f Feat. Nancy Fortune,Holographic Voice
The Country Gentlemen,I Ain't Gonna Work Tomorrow
Kristine W,Wonder Of It All (feat. Jim Brickman) (Live and Uplugges)
The Magnetic Fields,I Thought You Were My Boyfriend
Ruby Turner,Jesus on the Mainline / Atomic Telephone 
Yvonne Loriod,Messiaen : 8 Préludes : V Les sons impalpables du rêve
Ultravox!,Quiet Men
Conor Oberst,Air Mattress
Dark Fortress,Osiris
Billy Cobham,Snoopy's Search  (LP Version)
Throneberry,Squint Before The Dazzle
Nasum,Circle of Defeat
Slick Rick,Mona Lisa
Johnny & Hurricanes,Red River Rock
Letzte Instanz,Unerreicht
Catupecu Machu,Gritarle Al Viento
Kayah,Na Jezykach
J Dilla,10_000 Watts
Sciflyer,Never Come Down
Letzte Instanz,Für immer und ewig
The Wolfmen,Zip Gun (Demo)
Vibronics,Dub Herbs
International Airport,Association! Int Air Source
Harry Choates,Lawtell Waltz
Askil Holm,Animate
Nelson Rangell,All I've Hoped For
Billy J Kramer & The Dakotas,When You Walk In The Room (Live)
Clap Your Hands Say Yeah,Blue Turning Grey
MC5,Borderline (Live_ Sturgis Armory_ Michigan_ 27 June 1968)
Didier Lockwood,Les valseuses
Gang Of Four,In The Ditch
Marina Chello,Sideline (Album Version)
Stephan Bodzin vs. Marc Romboy,Ferdinand
Brinkman,Harlesden
Call To Preserve,Hold Fast
Banda Pequeños Musical,Mujer Infiel
Bernie Worrell,Celeste
Miguel Mateos Zas,Bull Dog
Grupo Niche,La Gallinita De Los Huevos De Oro
This Is Hell,Prelude (Again)
Toby Lightman,The River (Album Version)
Energy,Silna Slabosc
Maxi Priest,You Make Me Wanna Holla
Steve Roach,Snow Canon
Jean-michel Rotin,Ella
The Space Brothers,Shine
Carbon Silicon,The News
HOLLY DUNN,What a Friend We Have in Jesus
Marti Jones,Innocent Kiss
Schweisser,Trotzdem
Question Mark & The Mysterians,I'll Be Back
Lionel Rogg,Toccata Et Fugue En Ré Mineur BWV.538 : Fugue (Remasterisé En 2009)
Chet Atkins And Doc Watson,On My Way To Canaan's Land
Todd Rhodes and his Orchestra,Sportree's Jump
Sandra,Sisters And Brothers
Wildlife,Wandering Star
Rotting Christ,Sorrowful Farewell
The Gathering,Liberty Bell
Eric Serra,The Goldeneye Overture (Part I: Half Of Everything Is Luck/ Part II: The Other Half Is Fate/Part III: For England_ James) (Medley)
Mons Leidvin Takle,Det Skal Bli Strømmer Av Nåde
It's A Beautiful Day,Santa Cruz
Starving,Cool
Iggy Pop,Think Alone
Cliff Adams,Satin Doll
Southern Culture On The Skids,Where Is The Moon
Vincent Bruley,Mystère Bleuté 3
Panpipes,Chiquitita
The Dears,People Like Us
Vishal|A.R.Rehman|Anu Malik,Maro Chauke Chhakke
The Louvin Brothers,The First One To Love You
Nevada Tan,So wie du
Ian Van Dahl,Castles In The Sky
Meaghan Smith,Heartbroken (Album Version)
Planeta Imaginario,Trastornos Opticos del Oso Bipolar
Manhattan Transfer,Scotch And Soda  (LP Version)
Black Debbath,La Ungene Slippe Korps
Kassav',Sa Ki La Pouw ...
Four Year Strong,Paul Revere's Midnight Ride
Everything But The Girl,Five Fathoms (DJ Sneak's Sneak-a-dub Mix)
Edith Márquez,Pero me Acuerdo de Ti
Aisha Duo,Despertar
Malevolent Creation,Monster
Derek & Clive,Having A Wank (Explicit)
Thrice,Cold Cash Colder Hearts
Harry Lauder,I Love A Lassie
Cultus Sanguine,Silent Tunes Of Falling Blood
The Emperor Machine,Slap On
Udo Lindenberg,Panik Panther
Smokie Norful,It's All About You (I Need You Now album version)
Rise Against,Stained Glass And Marble
DAY26,Co Star (Album Version)
Augie Meyers,Rain
1090 Club,Some Equals One
Bruce Haack,Electric To Me Turn (Alternate Version)
Faker,Hurricane (Radio Remix)
Duran Duran,The Chauffeur (2001 Digital Remaster)
Atomic Swing,Dreamer's Battlefield
Dof,Last Night Static
Apostle Of Hustle,El Encuentro
Ann Nesby,I Apologize
The Orange Peels,The Great Outdoors
Thinking Plague,Etude for Combo
Richie Arndt & The Bluenatics,When The Train Comes
James Ingram / Patti Austin,How Do You Keep The Music Playing
Herbert Grönemeyer,Alkohol
Julien creance,One world
Ornette Coleman;London Symphony Orchestra,Silver Screen
Humanzi,When It's Good
Steeple Chaser,Been There
Ryoji Ikeda,I
The Templars,Take On The World
Thirst,Info For Refugees
Inspectah Deck,Movas & Shakers
Glasseater,Polar Opposites
Whiskey Daredevils,Lid Of Bluegrass
Don Howland,Barren Woman
Laurent Voulzy,La Fille D'Avril
Javier Navarrete,A Tale
Anton Dermota/Dietrich Fischer-Dieskau/Elisabeth Grümmer/Marga Höffgen/Otto Edelmann/Wiener Singakademie Chor/Wiener Sängerknaben/Wiener Philharmoniker/Wilhelm Furtwängler,St Matthew Passion BWV244 (1995 Digital Remaster)_ PART 2: No. 68_ Rezitativ: Desgleichen schmäheten ihn auch die Mörder (Evangelist)
mechanical bride,See Worlds (Album Version)
Gavin Herlihy,Sandman Cometh
Beny More,Las Mujeres Demi Tierra (Album Version)
Lisa Lashes,French Kiss
Judy Henske,God Bless The Child  (LP Version)
Regenerator,Death (Neon Cage Experiment Mix)
Frank Martiniq,Triebwärts
Strike Anywhere,Prisoner Echoes
Jody Reynolds,Endless Sleep
Alec K. Redfearn and The Eyesores,Rising
Rockin' Horse,Stayed Out Late Last Night (Mono)
The Asteroid No. 4,To Be In Your Eyes
Astrovamps,Die Baby Die
Japan,Methods of Dance (Live)
Silvain Vanot,Trop Tôt (Nouvelle Version)
Keith Carradine,Mr. Blue (LP Version)
Doc Watson,Love Is A Lonely Street
Toby Tobias,Breakdown
Ill Nino,This Is War (Album Version)
Blackfield,Hello
Fabrizio Faniello,I Do
Brenda Lee,Some Of These Days
Bobby Byrd,I Need Help (I Can't Do It Alone) Parts 1 & 2
De Souza,Goodbye to Africa
Cab Drivers,Open Air
Bill Evans Trio,Some Other Time
Hope For The Dying,A Beautiful Day For Vengeance
King Geedorah,Next Levels
The Mullets,Kelly's on Birth Control
Nortec Collective,Babel
Oscar Pettiford,All the things you are
The Rapture,First Gear
Friday Bridge,The End of the Affair 
Adriana Evans,Sooner Or Later
Joan Jett & The Blackhearts,Back It Up
Synsun,Vampiria Night
Nickodemus,Didibina
Mas Y Mas,Las Calles de Altea
Jamie O'Neal,When Did You Know
Aerosmith,Joanie's Butterfly
George Jones,Accidentally On Purpose
Maria,You_ Me And She
Rosana,Descubriendote
Steve Tyrell,The Christmas Song
EDGUY,The Kingdom
Tonedeff,Bluesbub (Bonus Track)
The (International) Noise Conspiracy,I Swear If You Do
Audion,Just A Man (Ellen Allien Version)
Weepers Circus,Adieu la piste
Bonnie Tyler,It's a Heartache
Jolin Tsai,Xu Yuan Chi De Xi La Shao Nu
David Lanz,Vesuvius
Painbastard,common wealth
The Box Tops,Lost
Giorgia,Strano Il Mio Destino
Ester Drang,White Lies
Cornershop,Judy Sucks A Lemon For Breakfast
Head East,Sands Of Time
Prana,Boundless
Lucky Dube,Together as One
Der Plan,Denn Alles War Nur Ein Trick
Mudvayne,King Of Pain
Ludov,Mecanismo
Shadowfax,Road To Hanna
Brandon Heath,The Night Before Christmas
Lawrence Welk,Carolina In The Morning
Trijntje Oosterhuis,Do I Do
Richie Rich,Straight Mail
Desmond Dekker & The Aces,It Mek
Chixdiggit!,Shadowy Bangers From A Shadowy Duplex
Allen Toussaint,The Optimism Blues (Remastered LP Version)
Brian Keane,Sail Away Ladies
Marc Andrae,Dabei wollt' ich dich lieben
Epic Soundtracks,Roll The Stone
Transbeauce,Utc
Kleenex,Ain't you
Ismo Alanko,Kun Rakkaus On Rikki
Badfinger,I Can't Take It [live] (Album Version)
Agent Alvin Featuring Spikey Tee,ON THE RISE (Timmy Schumacher Dub)
Annie Lennox,Why
Jet Set Productions,I Don't Need Your Love Song feat. Likkle Mai
Ismo Alanko Säätiö,Risteys
Tshala Muana,Nasi-Nabali
Queen Latifah,Big Blonde And Beautiful ("Hairspray")
Dead or American,Plastic Fruit For A Starving Nation
Ozzy Osbourne,I Don't Know
Grave Digger,My blood will live forever
Martin Stenmarck,Som en vän
Saosin,Sleepers
Diego "El Cigala,Cadencia Inesperada (Nana)
The Raveonettes,Somewhere In Texas
Alvin Youngblood Hart,Pony Blues
Artemis / Efthimis,Oi Stihoi Mas Pote De Stamatane
Maelo Ruiz,Me Niegas Tanto Amor
Hellbillies,Gamle Bry'n
Steve Lawrence,Party Doll
Electric Universe,From The Heart
Nucleus Roots,Educate To Emancipate
Jon Anderson,Heart Of The Matter (LP Version)
Trilogy,Not Love
Juliano Cezar,Do Tipo Cachorrão
Anggun,Plus Forte
Dionne Warwick,Don't Burn The Bridge (That Took You Across) (Album Version)
V/A - Liberation Records,Be Alright - Apocalypse Hoboken
Hixxy / Technikore,Re-Loaded
Los Patita De Perro,Ponpin
Jo-El Sonnier,Jolie Fille
Royal Liverpool Philharmonic Orchestra,Dances with Wolves: Main title theme
Jean-Louis Aubert,Tel Est L'amour (Live)
The Bobby Fuller Four,Carol (Live at PJ's)
Nikki Sudden And Phil Shoenfelt,Bang A Gong
Corenell,Keep On Jumping
David Poe,Wear Your Best
Sixsense,un svai puli chai
Rondellus,Behind The Wall of Sleep (Post Murum Somnii)
DJ Ogi,Septicka
Cuba Club,I´m Only Shooting Love
220 Volt,Prisoner Of War
Marvin Hamlisch;John Lithgow;Jeffrey Huard,I Could Get You in JJ (Reprise) (Brian d'Arcy Jameswith Kelli O'Hara_ Jack Noseworthy & John Lithgow)
The Chambers Brothers,All Strung Out Over You
La Barranca,Tal Vez Ni Dios
Seventy Niners,MTV Hero
Frank Martiniq,Daddy Longlegs
QPE,Uptown
Arda,Pervaya Zima
Evelyne Dubourg,Robert Schumann: Träumerei
Colin James,Leading Me On
Reunion Show,Too Much
Nappy Roots,My Ride
André Thivet,Les Ventres Noirs (Folklore Bourrée)
Kasia Kowalska,Zbyt Malo Wiesz
Johnny Prez,Bellaqueo Y Sobeteo
Plaid,Headspin
Palace Of Oranges,Around the Quad
2 Vibes,Found You (Bionik Phunk Remix)
Johnny Dorelli,The shadow of your smile
Flowing Tears,Merlin
Rafa Pons,Hotel y domicilio
Children On Stun,Style Police
Johnny Winter,Key to the Highway
Simon Bonney,Blue Eyes Crying In The Rain
The Troggs,Wild Thing
Disturbing Tha Peace,Big Chain Records
Mark-Anthony Abel,How Can I Say I Love You
The Original Mark Edwards,Wax on Hats
Tony Orlando & Dawn,Dance_ Rosie_ Dance (LP Version)
Tom Verlaine,Kingdom Come  (LP Version)
The Merry Macs,Good Will
Victor Garcia,Loco por ti
Dopeman,La Maffia Familia
Raz Ohara,Real T AGF
The Derailers,Sam's Place
Flor Silvestre,Presentimiento
Aphrodite,Interlude - London Massive
Eldar,What Is This Thing Called Love
William Lee Ellis,Honey Take Your Time
Soklak,14h00 Du Mat'
Dirty Wormz,Turn It Up
Jane Siberry,The Lobby (LP Version)
The Orchids,Prayers To St. Jude
The Nolan Sisters,Oh My Darling
Fragments Of Unbecoming,Lour Pulse
Taylor Deupree,Shell Shell Bye
Sathima Bea Benjamin,Someone To Watch Over Me
Melissa Ferrick,Wonder Why (LP Version)
So Many Dynamos,New Bones
Tramaine Hawkins,Excellent Lord
The Monas,Perdon
Will.I.Am,She's A Star
Pohlmann.,Kommentar Zu Lied 12
Joe Satriani,Theme for a Strange World
Avain,Farrah Muhammed (skit)
Building 429,Not Gonna Let You Down
Alias,Disillusioned 
M-Clan,Chilaba Y Cachimba
HYPOCRISY,Deathrow (no regrets)
Royal Gigolos,Happy Song
Hank Snow,Your Little Band Of Gold
Saxon,Intro
Luiz Melodia,Papelão
Laura Cantrell,Queen of the Coast
Christophe Beck,Auditions
Bart Peeters,Pinguin op Antarctica
Al Campbell,Only Love Will Do
Street Brawl,Charanga Campesina
Marc Ford,Cry_ Moan & Wail
It's A Beautiful Day,Girl With No Eyes
Inner City Unit,Cars Eat With Auto Face
Jonathan Miller,The Heat-Death Of The Universe (1996 Digital Remaster)
Kites,Hallucination Guillotine
Boys Noize,Transmission
Cómplices,Seras Mi Complice
M.A. Numminen,FAR_ JAG KAN INTE FÅ UPP MIN KOKOSNÖT
Maurice John Vaughn,In The Midnight Hour
Larsen,Halt
Tacks_ the Boy Disaster,Paris
King Missile,Anywhere (LP Version)
Betzefer,Split (Album Version)
We Were the States,Please Be Quiet
Reel People Feat. Angela Johnson,The Rain (RP's Club Mix)
DJ Atmospherik,Inhale
Bon Voyage,Wake Up_ Make Up
Constance Demby,Chambers Of The Heart
DJ Clue,One Two Freestyle
Meteors,In the Cards
Elektrochemie,Calling You
Little Tony,Cuore Matto (Mad Heart)
Elf Power,Unforced Peace (written by Roky Erickson)
Captain Jack,The Final Countdown
Al Di Meola,Short Tales Of The Black Forest
John Mayer,I Don't Trust Myself (With Loving You)
Mariana,Oh Le_ Oh La
Arthur 'Big Boy' Crudup,Keep Your Arms Around Me
Paul Ritch,June
The Mermen,Emmylou Rides Clarence West And Then South
Atlantic Drift,Diving Faces
Chango Spasiuk,Improvisacion A La Virgen De Hoshiuv
Micall Parknsun,So what
Fonky Family,Le Quartier
Roberto Silva,Morena Boca De Ouro
Antonio Carlos Jobim,Agua De Beber (LP Version)
Panty Lions,Blatz From the Pabst
The Peter Brötzmann Octet,Machine Gun
The Ghost Of Lemora,Silence Of Ghosts
A Made Up Sound,Rework
The Golden Boys,Waiting For You
Paul Wall,Break Em Off Rmx [Screwed] (feat. Lil' Keke)
Mike Stern,With A Twist  (LP Version)
Radio Slave,Bell Clap Dance
War Of Ages,The Fallen
MU330,Since The Short-Long's Gone
Jean-Jacques Milteau / Gil Scott-Heron,Home Is Where The Hatred Is
Condemned 84,Remember This
Daryl Hall,Love Revelation
5th Ward Boyz,Death Is Calling (Chopped&Screwed)
Tristan Prettyman,California Girl
van Eyden feat. Susanne Webb,The1 (Dj Precision Somatic Sense Rmx)
Archive,Veins
Alan Parsons (Feat. Shpongle),Antarctica
Rauschfaktor,Werde Ich Träumen?
Ruff Endz,The Love Is Gone ("No More")
Siriusmo,Girlsrock
Martin Carthy with Dave Swarbrick,The Bonny Hind
DARK NEBULA,Round and Round
P.M. Sampson,Hot bodies on the beach
The Shadows Of Knight,The Behemoth (LP Version)
Arthur Gunter,Baby_ Let's Play House
Jake Shimabukuro,Heartbeat / Dragon
Steve Miller Band,Don't Let Nobody Turn You Around (Digitally Remastered 90)
Heidi Talbot,Parting Song
Beck,Outcome
Mc Chris,Falynn
Aiden,Pledge Resistance
Madvillain,Rainbows
City And Colour,The Girl
Bruce BecVar,The Play of Life
King Tubby & Soul Syndicate,Leaving Babylon Dub
Immortal Technique Presents: Akir,Mood Music
Ivana Santilli,Dancin'
Oscar G,Chunky Buddha
The Fairfield Four,Don't Drive Her Away
The Clash,Up In Heaven (Not Only Here)
Ray Campi,The Blues Are Out Early Tonight
Riccardo Sabatini,Dance With Me
Fukkk Offf,I Give You Bass
Monkey Business,Wedding Song
Tom Cochrane,Another Page
Eason Chan,Yeet Dou Siu Yeah Kuk
The Bloodthirsty Lovers,Hardcore
Chris Connor,A Good Man Is A Seldom Thing
Dick Haymes,I Wish I Knew
Orson,Jessie
Susana Seivane,Pasodoble de San Roque
The House Of Love,Beatles And Stones
Saint Saens,Adagio Allegro
A Jealousy Issue,Psychology Of Optional Experience (Originally composed by Wake Up Dead)
The Divine Comedy,Timestretched
White Heart,Gabriela (Tales Of Wonder Album Version)
Karan Casey,You Brought Me Up
Roj,Attainment of the Final Key
Fettes Brot,Rockmic's (Remix)
Hackberry Ramblers,Step It Fast
Tahiti 80,Unpredictable
Major Lazer / Nina Sky / Ricky Blaze,Keep It Goin' Louder
Calvin Richardson,There Goes My Baby
Adam Schmitt,More Of The Same (LP Version)
The Bubble Puppy,I've Got To Reach You - Original
Yölintu,Tää on rankkaa
The Roches,Hammond Song (2006 Remastered Album Version)
Peter Himmelman,Cindy and the Octopus
J Dilla aka Jay Dee,Crushin'
Pied Pipers,Sentimental Journey
Denez Prigent,Gwerz Kiev
Ihsahn,Misanthrope
Der Plan,San Josse Car Muzak
Ana Belén,Que Malo Eres
Alain Souchon,Dandy
Damon And Naomi,The Mirror Phase
La Decada Prodigiosa,Vivir Bailando - Medley
Look See Proof,Single's The New Together
The New York Dolls,Don't Start Me Talking
Cameo,Intro (live)
Joe Maphis,Guitar Rock 'N' Roll
The Benjamin Gate,Lift Me Up (Far Away) (Contact Album Version/new Edit Master 4/17/02)
Suicide,Dominic Christ
Al Green,Where Love Rules
Jacques Dutronc,J'Comprends Pas
FLASH & THE PAIN feat. Don Martin,Love Potion No. 9
Thirsty Merc,Like Snow
Indicant,Indicant (Hub Mix)
Lank,Floppcorn (Original Mix)
Nesian Mystik,A Brief Reflection
Cripple Clarence Lofton,Streamline Train
David Johansen,Kickin' The Gong Around
Kuldeep Manak,Jad Bhiana Hon Jawan
The Flower Kings,Solitary Shell
John Michael Talbot,Supplication (Instrumental)
Joan Manuel Serrat,El Cigarrito
Juliette Gréco,Déshabillez-Moi
Peggy Lee,I Only Have Eyes For You
Joe Crepusculo,Noche Eterna
Miley Cyrus,Obsessed
Anton Dermota/Dietrich Fischer-Dieskau/Elisabeth Grümmer/Marga Höffgen/Otto Edelmann/Wiener Singakademie Chor/Wiener Sängerknaben/Wiener Philharmoniker/Wilhelm Furtwängler,St Matthew Passion BWV244 (1995 Digital Remaster)_ PART 2: No. 39_ Rezitativ: Und der Hohenpriester stand suf (Evangelist/Hohepriester)
Michael Prophet,Mother Africa
Zhané,For A Reason
Korn,Break Some Off
Conjunto Primavera,La Chiclosa
Exile,Utopia
Jerry's Kids,Build Me A Bomb
Wrangler Brutes,Shit Search
Jeremy Fisher,Scar That Never Heals
Hilary Stagg,Forever
Massimiliano Damerini,Piano Sonata In A Major D 959 (Op. Post.): I. Allegro
Damien Dempsey,Apple Of My Eye
Roger Cicero,König von Deutschland (Live)
Mario Lanza,Silent Night
Man Man,Van Helsing Boombox
Billy Gilman,I Wanna Get To Ya
Above The Golden State,The Haunting
The Killers,Smile Like You Mean It
Orquesta Sublime,Para Que Enganos
Lendakaris Muertos,El ultimo txakurra
Daryl Hall And John Oates,Lady Rain (LP Version)
THE TOM ROBINSON BAND,Number One Protection
Palace,Injection of Affection
We Are Scientists,Nobody Move_ Nobody Get Hurt (Live From Union Chapel_ London)
Gorerotted,Horrorday In Haiti
Celtic Woman,Panis Angelicus
The Kyle Bennett Band,Crescendo
I-Octane,Sow Life Seeds
Big John Patton,Ain't That Peculiar
Andrew Spencer Meets Blue Nature,I Need A Hero
New Edition,Feelin It (Album Version)
Tasmin Archer,You Made A Fool Of Me
The Bats,North By North
Nikita,Eterna Divina
Daddy Freddy,How We Do It
Y&T,Temptation
100 Proof Aged in Soul,I'm Mad As Hell (Ain't Gonna Take No More)
Graeme Revell_ Robert Rodriguez,Hospital Epidemic
Oesch's die Dritten,Ich lieb' die Berge meiner Heimat
DESPERADO,Csak Egy Perc
Alex Party,U Gotta Be
Maurice Davis,You Don't Know What Love Is
Kristy Lee Cook,Baby Believe
Hausmarke,Check In
HA-ASH;Kalimba,Ya no
The Roches,You (Make My Life Come True)
South Froggies,Jazzion
The Stone Poneys Featuring Linda Ronstadt,Some Of Shelly's Blues (1967) (Feat. Linda Ronstadt)
Kites,Bike Ride Pt. III
Rip Rig & Panic,Take A Donkey To Mystery
Declan Galbraith,Amazing Grace
Fat Bastard,Freestyle  (feat. Lil' Richard & B.A.B.)
Seru Giran,Eiti-Leda
[ingenting],Re:Re:Re
Oxmo Puccino,Quand J'arrive
Beach House,Home Again
Sissy Goodhouse,Pehnin Hanska
Less Than Jake,The Rest Of My Life (Album Version)
Debby Boone,I'm So Lonesome I Could Cry
Wes Cunningham,Gone (Album Version)
Clarence Fountain,Where Jesus Is
Trey Songz,All The Ifs (Album Version)
The Heavy,What You Want Me To Do?
The Feeling,Spare Me
Abrasive Wheels,Burn 'Em Down
Charlie Haden_ Egberto Gismonti,Don Quixote
Ferlin Husky,Honky Tonky Party Girl
Melotron,Lilienthals Traum
Eugene Ormandy,Vienna Blood_ Op. 354
Kevin Ayers,Star (BBC Radio One's ''John Peel Show'' 22/7/76)
Ultra Bidé,Instrumental
Gilbert Bécaud,Mourir À Capri
Whale,I'm Cold
The Lionheart Brothers,Hero Anthem
zero dB,anything's possiBle
Nueva Vulcano,Predominio del Sol
Philly Cream,Doin' It To Death
Angel Stoxx featuring natasha,used
IQ,Wintertell
4-Tay,Charger
Faster Pussycat,Body Thief
Florence + The Machine,Drumming Song
Regina Belle,Good Lovin'
Midnite,Nah Matter the Crisis
Doni i Momchil,Sluntzeto na voynika
John LaPorta,Wash Day
Vivian Girls,I Have No Fun
Yulduz Usmanova,Dilorom
George Ducas,I'm Pretending
Marika,Rose Of Mooncoin
Travis Tritt,No Vacation From The Blues
The Envy Corps,Party Dress
Chrome Dreams - CD Audio Series,Born Again
Oscar Lopez,Guitarras From Heaven
David Bromberg,Sheebeg And Sheemore
Joachim Witt,Mein Schatten (Na_ Na_ Na_ Du Bandit_ Du)
